date,competitor_id,product_id,price,discount,region,promo_flag,other_signal_1
2024-01-01,compA,prod1,131.0,13.29,IN,1,0.7232455264172801
2024-01-01,compA,prod2,149.0,13.95,IN,1,0.8793339160651861
2024-01-01,compA,prod3,139.0,14.1,IN,1,0.5697257572066275
2024-01-01,compB,prod1,106.0,21.65,IN,1,0.7447170577827545
2024-01-01,compB,prod2,128.0,19.4,IN,1,0.5947597035274427
2024-01-01,compB,prod3,147.0,15.3,IN,1,0.45306689077144646
2024-01-02,compA,prod1,135.71,14.25,IN,1,0.7962701424355235
2024-01-02,compA,prod2,106.71,13.58,IN,1,0.12915373768509975
2024-01-02,compA,prod3,125.71,21.93,IN,1,0.5148491999302767
2024-01-02,compB,prod1,139.71,16.24,IN,1,0.6646005509312578
2024-01-02,compB,prod2,125.71,13.34,IN,1,0.4900759170702399
2024-01-02,compB,prod3,127.71,22.7,IN,1,0.6224070591521357
2024-01-03,compA,prod1,133.41,16.66,IN,1,0.8987542087321262
2024-01-03,compA,prod2,106.41,20.24,IN,1,0.8582255451052416
2024-01-03,compA,prod3,127.41,17.61,IN,1,0.9941818132761261
2024-01-03,compB,prod1,103.41,22.45,IN,1,0.22480280850836343
2024-01-03,compB,prod2,124.41,19.6,IN,1,0.8393259353727801
2024-01-03,compB,prod3,146.41,14.96,IN,1,0.9750678004659942
2024-01-04,compA,prod1,103.08,13.8,IN,1,0.054231476766707365
2024-01-04,compA,prod2,135.08,21.59,IN,1,0.6609533346677448
2024-01-04,compA,prod3,128.08,23.52,IN,1,0.3385904566729593
2024-01-04,compB,prod1,112.08,19.59,IN,1,0.17970786256175764
2024-01-04,compB,prod2,145.08,18.11,IN,1,0.9554040510973224
2024-01-04,compB,prod3,134.08,18.94,IN,1,0.7961462877928214
2024-01-05,compA,prod1,146.7,14.64,IN,1,0.999773122801975
2024-01-05,compA,prod2,127.7,20.95,IN,1,0.46406887175221956
2024-01-05,compA,prod3,107.7,14.81,IN,1,0.013895176887312455
2024-01-05,compB,prod1,114.7,13.62,IN,1,0.9131491963271842
2024-01-05,compB,prod2,132.7,11.84,IN,1,0.3523631582922786
2024-01-05,compB,prod3,125.7,13.51,IN,1,0.03660731289194197
2024-01-06,compA,prod1,108.28,0.0,IN,0,0.6088428395485044
2024-01-06,compA,prod2,140.28,0.0,IN,0,0.3761873784191947
2024-01-06,compA,prod3,120.28,0.0,IN,0,0.24409964895276448
2024-01-06,compB,prod1,139.28,0.0,IN,0,0.024268106446664106
2024-01-06,compB,prod2,140.28,0.0,IN,0,0.07437389604359956
2024-01-06,compB,prod3,119.28,0.0,IN,0,0.5112464913422626
2024-01-07,compA,prod1,147.78,0.0,IN,0,0.16709941586795096
2024-01-07,compA,prod2,104.78,0.0,IN,0,0.1686885959560097
2024-01-07,compA,prod3,142.78,0.0,IN,0,0.5024210923861118
2024-01-07,compB,prod1,143.78,0.0,IN,0,0.4613761384916728
2024-01-07,compB,prod2,114.78,0.0,IN,0,0.68200908898831
2024-01-07,compB,prod3,127.78,0.0,IN,0,0.37982432021587054
2024-01-08,compA,prod1,117.21,0.0,IN,0,0.6263992523055578
2024-01-08,compA,prod2,111.21,0.0,IN,0,0.8426719551487851
2024-01-08,compA,prod3,114.21,0.0,IN,0,0.7249619875159466
2024-01-08,compB,prod1,140.21,0.0,IN,0,0.2906224299500353
2024-01-08,compB,prod2,128.21,0.0,IN,0,0.7141316219752092
2024-01-08,compB,prod3,126.21,0.0,IN,0,0.723053802426376
2024-01-09,compA,prod1,132.55,0.0,IN,0,0.6270802109691485
2024-01-09,compA,prod2,113.55,0.0,IN,0,0.3953663323243468
2024-01-09,compA,prod3,153.55,0.0,IN,0,0.7344890313758529
2024-01-09,compB,prod1,149.55,0.0,IN,0,0.4519408052825835
2024-01-09,compB,prod2,127.55,0.0,IN,0,0.6714548524196786
2024-01-09,compB,prod3,153.55,0.0,IN,0,0.5672226450815099
2024-01-10,compA,prod1,145.8,0.0,IN,0,0.29535112470026736
2024-01-10,compA,prod2,139.8,0.0,IN,0,0.8465990657895418
2024-01-10,compA,prod3,137.8,0.0,IN,0,0.006912860070163007
2024-01-10,compB,prod1,140.8,0.0,IN,0,0.5995083089700025
2024-01-10,compB,prod2,121.8,0.0,IN,0,0.4697262155196801
2024-01-10,compB,prod3,132.8,0.0,IN,0,0.011815479975941123
2024-01-11,compA,prod1,151.95,0.0,IN,0,0.021210373867805665
2024-01-11,compA,prod2,135.95,0.0,IN,0,0.1907485645969197
2024-01-11,compA,prod3,144.95,0.0,IN,0,0.3160298980285221
2024-01-11,compB,prod1,123.95,0.0,IN,0,0.5879162631613869
2024-01-11,compB,prod2,142.95,0.0,IN,0,0.8505525942633022
2024-01-11,compB,prod3,111.95,0.0,IN,0,0.011790693723433443
2024-01-12,compA,prod1,125.0,0.0,IN,0,0.9582609439229756
2024-01-12,compA,prod2,106.0,0.0,IN,0,0.2861207266042678
2024-01-12,compA,prod3,116.0,0.0,IN,0,0.7973763357885862
2024-01-12,compB,prod1,132.0,0.0,IN,0,0.7432135057345829
2024-01-12,compB,prod2,131.0,0.0,IN,0,0.7257509207316692
2024-01-12,compB,prod3,148.0,0.0,IN,0,0.3604321147960752
2024-01-13,compA,prod1,133.95,0.0,IN,0,0.25619696186853014
2024-01-13,compA,prod2,151.95,0.0,IN,0,0.00780424089970333
2024-01-13,compA,prod3,142.95,0.0,IN,0,0.6442080695963702
2024-01-13,compB,prod1,111.95,0.0,IN,0,0.9021906371816202
2024-01-13,compB,prod2,132.95,0.0,IN,0,0.3644076066125659
2024-01-13,compB,prod3,129.95,0.0,IN,0,0.8502883565601602
2024-01-14,compA,prod1,134.8,0.0,IN,0,0.19550753000864918
2024-01-14,compA,prod2,151.8,0.0,IN,0,0.3458219413837509
2024-01-14,compA,prod3,114.8,0.0,IN,0,0.7649807850459529
2024-01-14,compB,prod1,133.8,0.0,IN,0,0.2274997851039986
2024-01-14,compB,prod2,119.8,0.0,IN,0,0.2551118167686717
2024-01-14,compB,prod3,123.8,0.0,IN,0,0.6885833990627513
2024-01-15,compA,prod1,107.55,0.0,IN,0,0.9030922016206588
2024-01-15,compA,prod2,134.55,0.0,IN,0,0.8744664827405846
2024-01-15,compA,prod3,127.55,0.0,IN,0,0.12337036280482871
2024-01-15,compB,prod1,123.55,0.0,IN,0,0.4879110655823634
2024-01-15,compB,prod2,146.55,0.0,IN,0,0.29756429304900445
2024-01-15,compB,prod3,129.55,0.0,IN,0,0.42505517610986243
2024-01-16,compA,prod1,121.2,0.0,IN,0,0.3160188420342487
2024-01-16,compA,prod2,152.2,0.0,IN,0,0.853062946052337
2024-01-16,compA,prod3,152.2,0.0,IN,0,0.7145558589235753
2024-01-16,compB,prod1,136.2,0.0,IN,0,0.3307734344462301
2024-01-16,compB,prod2,114.2,0.0,IN,0,0.8813160763658234
2024-01-16,compB,prod3,137.2,0.0,IN,0,0.4085860074978612
2024-01-17,compA,prod1,134.78,0.0,IN,0,0.7329921238361559
